Date_NodeID	4_0	4_1	15_0	15_1	17_0	17_1	13_0	13_1	13_2	1	0	2	3	6	10	16
2026011500	0.6000	0.6000	0.0000	0.0000	0.7500	0.7500	0.7000	0.7000	0.7000	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011501	0.6776	0.6776	0.0000	0.0000	0.7500	0.7500	0.6915	0.6915	0.6915	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011502	0.7500	0.7500	0.0000	0.0000	0.7500	0.7500	0.6665	0.6665	0.6665	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011503	0.8121	0.8121	0.0000	0.0000	0.7500	0.7500	0.6268	0.6268	0.6268	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011504	0.8598	0.8598	0.0000	0.0000	0.7500	0.7500	0.5750	0.5750	0.5750	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011505	0.8898	0.8898	0.0000	0.0000	0.7500	0.7500	0.5147	0.5147	0.5147	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011506	0.9000	0.9000	0.0000	0.0000	0.7500	0.7500	0.4500	0.4500	0.4500	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011507	0.8898	0.8898	0.0000	0.0000	0.7500	0.7500	0.3853	0.3853	0.3853	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011508	0.8598	0.8598	0.0000	0.0000	0.7500	0.7500	0.3250	0.3250	0.3250	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011509	0.8121	0.8121	0.0000	0.0000	0.7500	0.7500	0.2732	0.2732	0.2732	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011510	0.7500	0.7500	0.0000	0.0000	0.7500	0.7500	0.2335	0.2335	0.2335	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011511	0.6776	0.6776	0.0000	0.0000	0.7500	0.7500	0.2085	0.2085	0.2085	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011512	0.6000	0.6000	1.0000	1.0000	0.7500	0.7500	0.2000	0.2000	0.2000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011513	0.5224	0.5224	1.0000	1.0000	0.7500	0.7500	0.2085	0.2085	0.2085	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011514	0.4500	0.4500	1.0000	1.0000	0.7500	0.7500	0.2335	0.2335	0.2335	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011515	0.3879	0.3879	1.0000	1.0000	0.7500	0.7500	0.2732	0.2732	0.2732	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011516	0.3402	0.3402	1.0000	1.0000	0.7500	0.7500	0.3250	0.3250	0.3250	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
