RESERVOIR node 10 SKYFONNA
reservoir_init_fr= 0.65000  init_masl=301.000
Filling at HRW [Mm3] = 28.74939
Filling at LRW [Mm3] = 5.74988
Active reservoir capacity [Mm3] = 22.99951
outlet_auto_qmin_masl [masl] = 283.000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s]   [m3/s]    [m3/s]     [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin pump_in pump_out tot_inflow tot_outflow
2026 1 15 0 4.4240 24.0000 0.0000 0.0000 20.6770 300.9804 0.6490 0.0000 10.5000 0.0000 0.0000 0.2000 0.0000 0.0000 4.4240 10.7000 
2026 1 15 1 4.3000 19.4400 0.0000 0.0000 20.6544 300.9607 0.6480 0.0000 10.3725 0.0000 0.0000 0.2000 0.0000 0.0000 4.3000 10.5725 
2026 1 15 2 4.1550 15.9500 0.0000 0.0000 20.6326 300.9418 0.6471 0.0000 9.9975 0.0000 0.0000 0.2000 0.0000 0.0000 4.1550 10.1975 
2026 1 15 3 4.0000 13.7500 0.0000 0.0000 20.6125 300.9243 0.6462 0.0000 9.4020 0.0000 0.0000 0.2000 0.0000 0.0000 4.0000 9.6020 
2026 1 15 4 3.8450 13.0000 0.0000 0.0000 20.5945 300.9087 0.6454 0.0000 8.6250 0.0000 0.0000 0.2000 0.0000 0.0000 3.8450 8.8250 
2026 1 15 5 3.7000 13.7500 0.0000 0.0000 20.5793 300.8955 0.6448 0.0000 7.7205 0.0000 0.0000 0.2000 0.0000 0.0000 3.7000 7.9205 
2026 1 15 6 3.5760 15.9500 0.0000 0.0000 20.5996 300.9131 0.6457 0.0000 6.7500 0.0000 0.0000 0.2000 9.0000 0.0000 12.5760 6.9500 
2026 1 15 7 3.4800 19.4400 0.0000 0.0000 20.6230 300.9334 0.6467 0.0000 5.7795 0.0000 0.0000 0.2000 9.0000 0.0000 12.4800 5.9795 
2026 1 15 8 3.4200 24.0000 0.0000 0.0000 20.6494 300.9564 0.6478 0.0000 4.8750 0.0000 0.0000 0.2000 9.0000 0.0000 12.4200 5.0750 
2026 1 15 9 3.4000 29.3100 0.0000 0.0000 20.6786 300.9818 0.6491 0.0000 4.0980 0.0000 0.0000 0.2000 9.0000 0.0000 12.4000 4.2980 
2026 1 15 10 3.4200 35.0000 0.0000 0.0000 20.6776 300.9809 0.6490 0.0000 3.5025 0.0000 0.0000 0.2000 0.0000 0.0000 3.4200 3.7025 
2026 1 15 11 3.4800 40.6900 0.0000 0.0000 20.6781 300.9814 0.6491 0.0000 3.1275 0.0000 0.0000 0.2000 0.0000 0.0000 3.4800 3.3275 
2026 1 15 12 3.5760 46.0000 0.0000 0.0000 20.6795 300.9826 0.6491 0.0000 3.0000 0.0000 0.0000 0.2000 0.0000 0.0000 3.5760 3.2000 
2026 1 15 13 3.7000 50.5600 0.0000 0.0000 20.6808 300.9837 0.6492 0.0000 3.1275 0.0000 0.0000 0.2000 0.0000 0.0000 3.7000 3.3275 
2026 1 15 14 3.8450 54.0500 0.0000 0.0000 20.6813 300.9842 0.6492 0.0000 3.5025 0.0000 0.0000 0.2000 0.0000 0.0000 3.8450 3.7025 
2026 1 15 15 4.0000 56.2500 0.0000 0.0000 20.6803 300.9832 0.6492 0.0000 4.0980 0.0000 0.0000 0.2000 0.0000 0.0000 4.0000 4.2980 
2026 1 15 16 4.1550 57.0000 0.0000 0.0000 20.6770 300.9803 0.6490 0.0000 4.8750 0.0000 0.0000 0.2000 0.0000 0.0000 4.1550 5.0750 
2026 1 15 17 4.3000 56.2500 0.0000 0.0000 20.6709 300.9751 0.6488 0.0000 5.7795 0.0000 0.0000 0.2000 0.0000 0.0000 4.3000 5.9795 
2026 1 15 18 4.4240 54.0500 0.0000 0.0000 20.6618 300.9672 0.6484 0.0000 6.7500 0.0000 0.0000 0.2000 0.0000 0.0000 4.4240 6.9500 
2026 1 15 19 4.5200 50.5600 0.0000 0.0000 20.6496 300.9565 0.6478 0.0000 7.7205 0.0000 0.0000 0.2000 0.0000 0.0000 4.5200 7.9205 
2026 1 15 20 4.5800 46.0000 0.0000 0.0000 20.6343 300.9433 0.6472 0.0000 8.6250 0.0000 0.0000 0.2000 0.0000 0.0000 4.5800 8.8250 
2026 1 15 21 4.6000 40.6900 0.0000 0.0000 20.6163 300.9276 0.6464 0.0000 9.4020 0.0000 0.0000 0.2000 0.0000 0.0000 4.6000 9.6020 
2026 1 15 22 4.5800 35.0000 0.0000 0.0000 20.5961 300.9100 0.6455 0.0000 9.9975 0.0000 0.0000 0.2000 0.0000 0.0000 4.5800 10.1975 
2026 1 15 23 4.5200 29.3100 0.0000 0.0000 20.5743 300.8911 0.6446 0.0000 10.3725 0.0000 0.0000 0.2000 0.0000 0.0000 4.5200 10.5725 
2026 1 16 0 4.4240 24.0000 0.0000 0.0000 20.5517 300.8714 0.6436 0.0000 10.5000 0.0000 0.0000 0.2000 0.0000 0.0000 4.4240 10.7000 
2026 1 16 1 4.3000 19.4400 0.0000 0.0000 20.5291 300.8518 0.6426 0.0000 10.3725 0.0000 0.0000 0.2000 0.0000 0.0000 4.3000 10.5725 
2026 1 16 2 4.1550 15.9500 0.0000 0.0000 20.5074 300.8329 0.6416 0.0000 9.9975 0.0000 0.0000 0.2000 0.0000 0.0000 4.1550 10.1975 
2026 1 16 3 4.0000 13.7500 0.0000 0.0000 20.4872 300.8153 0.6408 0.0000 9.4020 0.0000 0.0000 0.2000 0.0000 0.0000 4.0000 9.6020 
2026 1 16 4 3.8450 13.0000 0.0000 0.0000 20.4693 300.7997 0.6400 0.0000 8.6250 0.0000 0.0000 0.2000 0.0000 0.0000 3.8450 8.8250 
2026 1 16 5 3.7000 13.7500 0.0000 0.0000 20.4541 300.7865 0.6393 0.0000 7.7205 0.0000 0.0000 0.2000 0.0000 0.0000 3.7000 7.9205 
2026 1 16 6 3.5760 15.9500 0.0000 0.0000 20.4743 300.8041 0.6402 0.0000 6.7500 0.0000 0.0000 0.2000 9.0000 0.0000 12.5760 6.9500 
2026 1 16 7 3.4800 19.4400 0.0000 0.0000 20.4977 300.8245 0.6412 0.0000 5.7795 0.0000 0.0000 0.2000 9.0000 0.0000 12.4800 5.9795 
2026 1 16 8 3.4200 24.0000 0.0000 0.0000 20.5242 300.8475 0.6424 0.0000 4.8750 0.0000 0.0000 0.2000 9.0000 0.0000 12.4200 5.0750 
2026 1 16 9 3.4000 29.3100 0.0000 0.0000 20.5533 300.8728 0.6436 0.0000 4.0980 0.0000 0.0000 0.2000 9.0000 0.0000 12.4000 4.2980 
2026 1 16 10 3.4200 35.0000 0.0000 0.0000 20.5523 300.8720 0.6436 0.0000 3.5025 0.0000 0.0000 0.2000 0.0000 0.0000 3.4200 3.7025 
2026 1 16 11 3.4800 40.6900 0.0000 0.0000 20.5529 300.8724 0.6436 0.0000 3.1275 0.0000 0.0000 0.2000 0.0000 0.0000 3.4800 3.3275 
2026 1 16 12 3.5760 46.0000 0.0000 0.0000 20.5542 300.8736 0.6437 0.0000 3.0000 0.0000 0.0000 0.2000 0.0000 0.0000 3.5760 3.2000 
