CHANNEL node 11 FONNBEKKEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 2.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 1 15 0 0.0000 0.00166806 0.3700 0.0000 
2026 1 15 1 0.0000 0.00075691 0.2531 0.0000 
2026 1 15 2 0.0000 0.00029085 0.1295 0.0000 
2026 1 15 3 0.0000 0.00010017 0.0530 0.0000 
2026 1 15 4 0.0000 0.00003202 0.0189 0.0000 
2026 1 15 5 0.0000 0.00000970 0.0062 0.0000 
2026 1 15 6 0.0000 0.00000283 0.0019 0.0000 
2026 1 15 7 0.0000 0.00000080 0.0006 0.0000 
2026 1 15 8 0.0000 0.00000022 0.0002 0.0000 
2026 1 15 9 0.0000 0.00000006 0.0000 0.0000 
2026 1 15 10 0.0000 0.00000002 0.0000 0.0000 
2026 1 15 11 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 12 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 13 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 14 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 15 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 16 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 17 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 18 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 19 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 20 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 21 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 22 0.0000 0.00000000 0.0000 0.0000 
2026 1 15 23 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 0 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 1 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 2 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 3 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 4 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 5 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 6 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 7 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 8 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 9 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 10 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 11 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 12 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 13 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 14 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 15 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 16 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 17 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 18 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 19 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 20 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 21 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 22 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 23 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 0 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 1 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 2 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 3 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 4 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 5 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 6 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 7 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 8 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 9 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 10 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 11 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 12 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 13 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 14 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 15 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 16 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 17 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 18 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 19 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 20 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 21 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 22 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 23 0.0000 0.00000000 0.0000 0.0000 
