CHANNEL node 12 SALTBEKKEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 3.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 1 15 0 0.2000 0.00273394 0.2739 0.0000 
2026 1 15 1 0.2000 0.00251331 0.2613 0.0000 
2026 1 15 2 0.2000 0.00235872 0.2429 0.0000 
2026 1 15 3 0.2000 0.00226444 0.2262 0.0000 
2026 1 15 4 0.2000 0.00221218 0.2145 0.0000 
2026 1 15 5 0.2000 0.00218507 0.2075 0.0000 
2026 1 15 6 0.2000 0.00217169 0.2037 0.0000 
2026 1 15 7 0.2000 0.00216532 0.2018 0.0000 
2026 1 15 8 0.2000 0.00216237 0.2008 0.0000 
2026 1 15 9 0.2000 0.00216104 0.2004 0.0000 
2026 1 15 10 0.2000 0.00216045 0.2002 0.0000 
2026 1 15 11 0.2000 0.00216019 0.2001 0.0000 
2026 1 15 12 0.2000 0.00216008 0.2000 0.0000 
2026 1 15 13 0.2000 0.00216003 0.2000 0.0000 
2026 1 15 14 0.2000 0.00216001 0.2000 0.0000 
2026 1 15 15 0.2000 0.00216001 0.2000 0.0000 
2026 1 15 16 0.2000 0.00216000 0.2000 0.0000 
2026 1 15 17 0.2000 0.00216000 0.2000 0.0000 
2026 1 15 18 0.2000 0.00216000 0.2000 0.0000 
2026 1 15 19 0.2000 0.00216000 0.2000 0.0000 
2026 1 15 20 0.2000 0.00216000 0.2000 0.0000 
2026 1 15 21 0.2000 0.00216000 0.2000 0.0000 
2026 1 15 22 0.2000 0.00216000 0.2000 0.0000 
2026 1 15 23 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 0 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 1 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 2 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 3 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 4 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 5 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 6 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 7 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 8 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 9 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 10 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 11 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 12 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 13 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 14 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 15 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 16 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 17 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 18 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 19 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 20 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 21 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 22 0.2000 0.00216000 0.2000 0.0000 
2026 1 16 23 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 0 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 1 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 2 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 3 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 4 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 5 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 6 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 7 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 8 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 9 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 10 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 11 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 12 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 13 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 14 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 15 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 16 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 17 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 18 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 19 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 20 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 21 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 22 0.2000 0.00216000 0.2000 0.0000 
2026 1 17 23 0.2000 0.00216000 0.2000 0.0000 
