RESERVOIR node 14 TROLLDAMMEN
reservoir_init_fr= 0.55000  init_masl=209.750
Filling at HRW [Mm3] = 75.59813
Filling at LRW [Mm3] = 12.59969
Active reservoir capacity [Mm3] = 62.99844
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s]   [m3/s]    [m3/s]     [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin pump_in pump_out tot_inflow tot_outflow
2026 1 15 0 5.0000 24.0000 0.0000 17.8516 47.4571 209.8326 0.5533 0.0000 0.0000 0.0000 0.0000 0.0000 35.0000 0.0000 57.8516 0.0000 
2026 1 15 1 4.8710 19.4400 0.0000 16.4602 47.6599 209.9131 0.5565 0.0000 0.0000 0.0000 0.0000 0.0000 35.0000 0.0000 56.3312 0.0000 
2026 1 15 2 4.7500 15.9500 0.0000 16.8426 47.8636 209.9940 0.5598 0.0000 0.0000 0.0000 0.0000 0.0000 35.0000 0.0000 56.5926 0.0000 
2026 1 15 3 4.6460 13.7500 0.0000 18.4013 48.0726 210.0769 0.5631 0.0000 0.0000 0.0000 0.0000 0.0000 35.0000 0.0000 58.0473 0.0000 
2026 1 15 4 4.5670 13.0000 0.0000 19.8635 48.2865 210.1618 0.5665 0.0000 0.0000 0.0000 0.0000 0.0000 35.0000 0.0000 59.4305 0.0000 
2026 1 15 5 4.5170 13.7500 0.0000 20.6367 48.5031 210.2477 0.5699 0.0000 0.0000 0.0000 0.0000 0.0000 35.0000 0.0000 60.1537 0.0000 
2026 1 15 6 4.5000 15.9500 0.0000 20.7092 48.5614 210.2709 0.5708 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 9.0000 25.2092 9.0000 
2026 1 15 7 4.5170 19.4400 0.0000 20.3074 48.6184 210.2935 0.5717 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 9.0000 24.8244 9.0000 
2026 1 15 8 4.5670 24.0000 0.0000 19.6824 48.6733 210.3153 0.5726 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 9.0000 24.2494 9.0000 
2026 1 15 9 4.6460 29.3100 0.0000 19.0305 48.7262 210.3363 0.5735 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 9.0000 23.6765 9.0000 
2026 1 15 10 4.7500 35.0000 0.0000 18.4854 48.8098 210.3694 0.5748 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.2354 0.0000 
2026 1 15 11 4.8710 40.6900 0.0000 18.1279 48.8926 210.4023 0.5761 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 22.9989 0.0000 
2026 1 15 12 5.0000 46.0000 0.0000 18.0048 48.8314 210.3780 0.5751 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.0048 40.0000 
2026 1 15 13 5.1290 50.5600 0.0000 18.1321 48.7712 210.3541 0.5742 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.2611 40.0000 
2026 1 15 14 5.2500 54.0500 0.0000 18.5059 48.7127 210.3309 0.5732 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.7559 40.0000 
2026 1 15 15 5.3540 56.2500 0.0000 19.1002 48.6567 210.3087 0.5723 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 24.4542 40.0000 
2026 1 15 16 5.4330 57.0000 0.0000 19.8763 48.6038 210.2877 0.5715 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 25.3093 40.0000 
2026 1 15 17 5.4830 56.2500 0.0000 20.7803 48.5544 210.2681 0.5707 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 26.2633 40.0000 
2026 1 15 18 5.5000 54.0500 0.0000 21.7504 48.5085 210.2499 0.5700 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 27.2504 40.0000 
2026 1 15 19 5.4830 50.5600 0.0000 22.7207 48.4660 210.2330 0.5693 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 28.2037 40.0000 
2026 1 15 20 5.4330 46.0000 0.0000 23.6251 48.4266 210.2174 0.5687 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 29.0581 40.0000 
2026 1 15 21 5.3540 40.6900 0.0000 24.4021 48.3897 210.2028 0.5681 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 29.7561 40.0000 
2026 1 15 22 5.2500 35.0000 0.0000 24.9975 48.3546 210.1888 0.5676 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 30.2475 40.0000 
2026 1 15 23 5.1290 29.3100 0.0000 25.3725 48.3204 210.1752 0.5670 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 30.5015 40.0000 
2026 1 16 0 5.0000 24.0000 0.0000 25.5000 48.4122 210.2117 0.5685 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 65.5000 40.0000 
2026 1 16 1 4.8710 19.4400 0.0000 25.3725 48.5031 210.2477 0.5699 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 65.2435 40.0000 
2026 1 16 2 4.7500 15.9500 0.0000 24.9975 48.5922 210.2831 0.5713 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 64.7475 40.0000 
2026 1 16 3 4.6460 13.7500 0.0000 24.4020 48.6788 210.3175 0.5727 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 64.0480 40.0000 
2026 1 16 4 4.5670 13.0000 0.0000 23.6250 48.7623 210.3506 0.5740 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 63.1920 40.0000 
2026 1 16 5 4.5170 13.7500 0.0000 22.7205 48.8423 210.3824 0.5753 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 62.2375 40.0000 
