RESERVOIR node 16 SALTVIKA
reservoir_init_fr= 0.50000  init_masl=18.000
Filling at HRW [Mm3] = 25.91991
Filling at LRW [Mm3] = 4.31999
Active reservoir capacity [Mm3] = 21.59993
outlet_auto_qmin_masl [masl] = 11.500
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s]   [m3/s]    [m3/s]     [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin pump_in pump_out tot_inflow tot_outflow
2026 1 15 0 0.8230 24.0000 0.0000 0.2739 14.7567 17.8318 0.4832 0.0000 45.0000 0.0000 0.0000 22.0000 0.0000 35.0000 1.0969 102.0000 
2026 1 15 1 0.7830 19.4400 0.0000 0.2613 14.3933 17.6636 0.4664 0.0000 45.0000 0.0000 0.0000 22.0000 0.0000 35.0000 1.0443 102.0000 
2026 1 15 2 0.7590 15.9500 0.0000 0.2429 14.0297 17.4952 0.4495 0.0000 45.0000 0.0000 0.0000 22.0000 0.0000 35.0000 1.0019 102.0000 
2026 1 15 3 0.7500 13.7500 0.0000 0.2262 13.6660 17.3269 0.4327 0.0000 45.0000 0.0000 0.0000 22.0000 0.0000 35.0000 0.9762 102.0000 
2026 1 15 4 0.7590 13.0000 0.0000 0.2145 13.3023 17.1585 0.4158 0.0000 45.0000 0.0000 0.0000 22.0000 0.0000 35.0000 0.9735 102.0000 
2026 1 15 5 0.7830 13.7500 0.0000 0.2075 12.9387 16.9901 0.3990 0.0000 45.0000 0.0000 0.0000 22.0000 0.0000 35.0000 0.9905 102.0000 
2026 1 15 6 0.8230 15.9500 0.0000 0.2037 12.7011 16.8802 0.3880 0.0000 45.0000 0.0000 0.0000 22.0000 0.0000 0.0000 1.0267 67.0000 
2026 1 15 7 0.8750 19.4400 0.0000 0.2018 12.4638 16.7703 0.3770 0.0000 45.0000 0.0000 0.0000 22.0000 0.0000 0.0000 1.0768 67.0000 
2026 1 15 8 0.9350 24.0000 0.0000 0.2008 12.2267 16.6605 0.3661 0.0000 45.0000 0.0000 0.0000 22.0000 0.0000 0.0000 1.1358 67.0000 
