CHANNEL node 18 MUNNINGEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 3.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 1 15 0 67.0000 0.33168071 16.5331 8.0000 
2026 1 15 1 67.0000 0.48234298 25.1494 0.0000 
2026 1 15 2 67.0000 0.58790317 37.6777 0.0000 
2026 1 15 3 67.0000 0.65227903 49.1178 0.0000 
2026 1 15 4 67.0000 0.68796967 57.0859 0.0000 
2026 1 15 5 67.0000 0.70647778 61.8589 0.0000 
2026 1 15 6 67.0000 0.71561853 64.4609 0.0000 
2026 1 15 7 67.0000 0.71996913 65.7915 0.0000 
2026 1 15 8 67.0000 0.72198089 66.4412 0.0000 
2026 1 15 9 67.0000 0.72288987 66.7475 0.0000 
2026 1 15 10 67.0000 0.72329287 66.8881 0.0000 
2026 1 15 11 67.0000 0.72346875 66.9511 0.0000 
2026 1 15 12 67.0000 0.72354449 66.9790 0.0000 
2026 1 15 13 67.0000 0.72357673 66.9910 0.0000 
2026 1 15 14 67.0000 0.72359032 66.9962 0.0000 
2026 1 15 15 67.0000 0.72359600 66.9984 0.0000 
2026 1 15 16 67.0000 0.72359836 66.9993 0.0000 
2026 1 15 17 67.0000 0.72359933 66.9997 0.0000 
2026 1 15 18 67.0000 0.72359973 66.9999 0.0000 
2026 1 15 19 67.0000 0.72359989 67.0000 0.0000 
2026 1 15 20 31.0000 0.60045236 65.2076 0.0000 
2026 1 15 21 31.0000 0.49832985 59.3674 0.0000 
2026 1 15 22 31.0000 0.42677860 50.8753 0.0000 
2026 1 15 23 31.0000 0.38314309 43.1210 0.0000 
2026 1 16 0 31.0000 0.35895111 37.7200 0.0000 
2026 1 16 1 31.0000 0.34640586 34.4848 0.0000 
2026 1 16 2 31.0000 0.34021004 32.7211 0.0000 
2026 1 16 3 31.0000 0.33726109 31.8192 0.0000 
2026 1 16 4 31.0000 0.33589747 31.3788 0.0000 
2026 1 16 5 31.0000 0.33528135 31.1711 0.0000 
2026 1 16 6 44.5000 0.38118853 31.7480 0.0000 
2026 1 16 7 44.5000 0.41936527 33.8954 0.0000 
2026 1 16 8 44.5000 0.44614565 37.0610 0.0000 
2026 1 16 9 44.5000 0.46248712 39.9607 0.0000 
2026 1 16 10 44.5000 0.47154990 41.9826 0.0000 
2026 1 16 11 44.5000 0.47625051 43.1943 0.0000 
2026 1 16 12 44.5000 0.47857235 43.8550 0.0000 
2026 1 16 13 44.5000 0.47967754 44.1930 0.0000 
2026 1 16 14 44.5000 0.48018863 44.3580 0.0000 
2026 1 16 15 44.5000 0.48041957 44.4359 0.0000 
2026 1 16 16 44.5000 0.48052196 44.4716 0.0000 
2026 1 16 17 44.5000 0.48056665 44.4876 0.0000 
2026 1 16 18 44.5000 0.48058589 44.4947 0.0000 
2026 1 16 19 44.5000 0.48059409 44.4977 0.0000 
2026 1 16 20 44.5000 0.48059754 44.4990 0.0000 
2026 1 16 21 44.5000 0.48059898 44.4996 0.0000 
2026 1 16 22 44.5000 0.48059958 44.4998 0.0000 
2026 1 16 23 44.5000 0.48059983 44.4999 0.0000 
2026 1 17 0 44.5000 0.48059993 44.5000 0.0000 
2026 1 17 1 44.5000 0.48059997 44.5000 0.0000 
2026 1 17 2 44.5000 0.48059999 44.5000 0.0000 
2026 1 17 3 44.5000 0.48060000 44.5000 0.0000 
2026 1 17 4 22.0000 0.40363275 43.3798 0.0000 
2026 1 17 5 22.0000 0.33980616 39.7296 0.0000 
2026 1 17 6 22.0000 0.29508663 34.4221 0.0000 
2026 1 17 7 22.0000 0.26781443 29.5756 0.0000 
2026 1 17 8 22.0000 0.25269444 26.2000 0.0000 
2026 1 17 9 22.0000 0.24485366 24.1780 0.0000 
2026 1 17 10 22.0000 0.24098127 23.0757 0.0000 
2026 1 17 11 22.0000 0.23913818 22.5120 0.0000 
2026 1 17 12 22.0000 0.23828592 22.2367 0.0000 
2026 1 17 13 22.0000 0.23790084 22.1070 0.0000 
2026 1 17 14 22.0000 0.23773011 22.0474 0.0000 
2026 1 17 15 22.0000 0.23765560 22.0207 0.0000 
2026 1 17 16 22.0000 0.23762352 22.0089 0.0000 
2026 1 17 17 22.0000 0.23760986 22.0038 0.0000 
2026 1 17 18 44.5000 0.31457135 23.1218 0.0000 
2026 1 17 19 44.5000 0.37839553 26.7711 0.0000 
2026 1 17 20 44.5000 0.42311407 32.0782 0.0000 
2026 1 17 21 44.5000 0.45038585 36.9245 0.0000 
2026 1 17 22 44.5000 0.46550567 40.3000 0.0000 
2026 1 17 23 44.5000 0.47334639 42.3220 0.0000 
