# PUMP node 1 (OPPLOFT)
# PUMP_SOURCE_IDNR = 16, PUMP_TARGET_IDNR = 14
yyyy mm dd hh Pumped_m3s Power_MW Cost_Euro startstopCost
2026 01 15 00 34.999999 79.050829 1897.219903 2.000000
2026 01 15 01 34.999999 79.149033 1538.657242 0.000000
2026 01 15 02 34.999999 79.246914 1263.988264 0.000000
2026 01 15 03 34.999999 79.345300 1090.997868 0.000000
2026 01 15 04 34.999999 79.444491 1032.778386 0.000000
2026 01 15 05 34.999999 79.544270 1093.733710 0.000000
2026 01 15 06 0.000000 0.000000 0.000000 2.000000
2026 01 15 07 0.000000 0.000000 0.000000 0.000000
2026 01 15 08 0.000000 0.000000 0.000000 0.000000
2026 01 15 09 0.000000 0.000000 0.000000 0.000000
2026 01 15 10 0.000000 0.000000 0.000000 0.000000
2026 01 15 11 0.000000 0.000000 0.000000 0.000000
2026 01 15 12 0.000000 0.000000 0.000000 0.000000
2026 01 15 13 0.000000 0.000000 0.000000 0.000000
2026 01 15 14 0.000000 0.000000 0.000000 0.000000
2026 01 15 15 0.000000 0.000000 0.000000 0.000000
2026 01 15 16 0.000000 0.000000 0.000000 0.000000
2026 01 15 17 0.000000 0.000000 0.000000 0.000000
2026 01 15 18 0.000000 0.000000 0.000000 0.000000
2026 01 15 19 0.000000 0.000000 0.000000 0.000000
2026 01 15 20 0.000000 0.000000 0.000000 0.000000
2026 01 15 21 0.000000 0.000000 0.000000 0.000000
2026 01 15 22 0.000000 0.000000 0.000000 0.000000
2026 01 15 23 0.000000 0.000000 0.000000 0.000000
2026 01 16 00 34.999999 79.947436 1918.738452 2.000000
2026 01 16 01 34.999999 79.978066 1554.773650 0.000000
2026 01 16 02 34.999999 80.008507 1276.135664 0.000000
2026 01 16 03 34.999999 80.038622 1100.531052 0.000000
2026 01 16 04 34.999999 80.068301 1040.887907 0.000000
2026 01 16 05 34.999999 80.097460 1101.340072 0.000000
2026 01 16 06 0.000000 0.000000 0.000000 2.000000
2026 01 16 07 0.000000 0.000000 0.000000 0.000000
2026 01 16 08 0.000000 0.000000 0.000000 0.000000
2026 01 16 09 0.000000 0.000000 0.000000 0.000000
2026 01 16 10 0.000000 0.000000 0.000000 0.000000
2026 01 16 11 0.000000 0.000000 0.000000 0.000000
2026 01 16 12 0.000000 0.000000 0.000000 0.000000
2026 01 16 13 0.000000 0.000000 0.000000 0.000000
2026 01 16 14 0.000000 0.000000 0.000000 0.000000
2026 01 16 15 0.000000 0.000000 0.000000 0.000000
2026 01 16 16 0.000000 0.000000 0.000000 0.000000
2026 01 16 17 0.000000 0.000000 0.000000 0.000000
2026 01 16 18 0.000000 0.000000 0.000000 0.000000
2026 01 16 19 0.000000 0.000000 0.000000 0.000000
2026 01 16 20 0.000000 0.000000 0.000000 0.000000
2026 01 16 21 0.000000 0.000000 0.000000 0.000000
2026 01 16 22 0.000000 0.000000 0.000000 0.000000
2026 01 16 23 0.000000 0.000000 0.000000 0.000000
2026 01 17 00 34.999999 80.591544 1934.197048 2.000000
2026 01 17 01 34.999999 80.631021 1567.467084 0.000000
2026 01 17 02 34.999999 80.670307 1286.691384 0.000000
2026 01 17 03 34.999999 80.709269 1109.752446 0.000000
2026 01 17 04 34.999999 80.740422 1049.625483 0.000000
2026 01 17 05 34.999999 80.763684 1110.500649 0.000000
2026 01 17 06 0.000000 0.000000 0.000000 2.000000
2026 01 17 07 0.000000 0.000000 0.000000 0.000000
2026 01 17 08 0.000000 0.000000 0.000000 0.000000
2026 01 17 09 0.000000 0.000000 0.000000 0.000000
2026 01 17 10 0.000000 0.000000 0.000000 0.000000
2026 01 17 11 0.000000 0.000000 0.000000 0.000000
2026 01 17 12 0.000000 0.000000 0.000000 0.000000
2026 01 17 13 0.000000 0.000000 0.000000 0.000000
2026 01 17 14 0.000000 0.000000 0.000000 0.000000
2026 01 17 15 0.000000 0.000000 0.000000 0.000000
2026 01 17 16 0.000000 0.000000 0.000000 0.000000
2026 01 17 17 0.000000 0.000000 0.000000 0.000000
2026 01 17 18 0.000000 0.000000 0.000000 0.000000
2026 01 17 19 0.000000 0.000000 0.000000 0.000000
2026 01 17 20 0.000000 0.000000 0.000000 0.000000
2026 01 17 21 0.000000 0.000000 0.000000 0.000000
2026 01 17 22 0.000000 0.000000 0.000000 0.000000
2026 01 17 23 0.000000 0.000000 0.000000 0.000000
