RESERVOIR node 2 DUGGTJERN
reservoir_init_fr= 0.95000  init_masl=1124.250
Filling at HRW [Mm3] = 1.66674
Filling at LRW [Mm3] = 0.66670
Active reservoir capacity [Mm3] = 1.00004
outlet_auto_qmin_masl [masl] = 1102.000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s]   [m3/s]    [m3/s]     [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin pump_in pump_out tot_inflow tot_outflow
2026 1 15 0 1.1410 24.0000 1.0000 0.0000 1.6108 1124.1604 0.9440 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 1.1410 2.8000 
2026 1 15 1 1.1730 19.4400 1.0000 0.0000 1.6049 1124.0726 0.9382 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 1.1730 2.8000 
2026 1 15 2 1.1930 15.9500 1.0000 0.0000 1.5991 1123.9858 0.9324 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 1.1930 2.8000 
2026 1 15 3 1.2000 13.7500 1.0000 0.0000 1.5934 1123.8994 0.9266 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 1.2000 2.8000 
2026 1 15 4 1.1930 13.0000 1.0000 0.0000 1.5876 1123.8126 0.9208 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 1.1930 2.8000 
2026 1 15 5 1.1730 13.7500 1.0000 0.0000 1.5817 1123.7248 0.9150 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 1.1730 2.8000 
2026 1 15 6 1.1410 15.9500 1.0000 0.0000 1.5757 1123.6352 0.9090 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 1.1410 2.8000 
2026 1 15 7 1.1000 19.4400 1.0000 0.0000 1.5696 1123.5434 0.9029 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 1.1000 2.8000 
2026 1 15 8 1.0520 24.0000 1.0000 0.0000 1.5633 1123.4490 0.8966 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 1.0520 2.8000 
2026 1 15 9 1.0000 29.3100 1.0000 0.0000 1.5569 1123.3518 0.8901 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 1.0000 2.8000 
2026 1 15 10 0.9480 35.0000 1.0000 0.0000 1.5502 1123.2518 0.8835 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 0.9480 2.8000 
2026 1 15 11 0.9000 40.6900 1.0000 0.0000 1.5433 1123.1492 0.8766 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 0.9000 2.8000 
2026 1 15 12 0.8590 46.0000 1.0000 0.0000 1.5364 1123.0444 0.8696 0.0000 0.0000 2.0000 0.0000 0.8000 0.0000 0.0000 0.8590 2.8000 
