RESERVOIR node 3 SKYTRONA
reservoir_init_fr= 0.50000  init_masl=1000.000
Filling at HRW [Mm3] = 583.32558
Filling at LRW [Mm3] = 83.33223
Active reservoir capacity [Mm3] = 499.99335
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s]   [m3/s]    [m3/s]     [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin pump_in pump_out tot_inflow tot_outflow
2026 1 15 0 15.0000 24.0000 0.0000 2.0000 333.3253 999.9996 0.5000 0.0000 18.0000 0.0000 0.0000 0.0000 0.0000 0.0000 17.0000 18.0000 
2026 1 15 1 15.5820 19.4400 0.0000 2.0000 333.3154 999.9984 0.5000 0.0000 20.3280 0.0000 0.0000 0.0000 0.0000 0.0000 17.5820 20.3280 
2026 1 15 2 16.1250 15.9500 0.0000 2.0000 333.2997 999.9965 0.4999 0.0000 22.5000 0.0000 0.0000 0.0000 0.0000 0.0000 18.1250 22.5000 
2026 1 15 3 16.5910 13.7500 0.0000 2.0000 333.2789 999.9940 0.4999 0.0000 24.3630 0.0000 0.0000 0.0000 0.0000 0.0000 18.5910 24.3630 
2026 1 15 4 16.9490 13.0000 0.0000 2.0000 333.2542 999.9910 0.4999 0.0000 25.7940 0.0000 0.0000 0.0000 0.0000 0.0000 18.9490 25.7940 
2026 1 15 5 17.1730 13.7500 0.0000 2.0000 333.2272 999.9878 0.4998 0.0000 26.6940 0.0000 0.0000 0.0000 0.0000 0.0000 19.1730 26.6940 
2026 1 15 6 17.2500 15.9500 0.0000 2.0000 333.1993 999.9844 0.4997 0.0000 27.0000 0.0000 0.0000 0.0000 0.0000 0.0000 19.2500 27.0000 
2026 1 15 7 17.1730 19.4400 0.0000 2.0000 333.1722 999.9812 0.4997 0.0000 26.6940 0.0000 0.0000 0.0000 0.0000 0.0000 19.1730 26.6940 
2026 1 15 8 16.9490 24.0000 0.0000 2.0000 333.1476 999.9782 0.4996 0.0000 25.7940 0.0000 0.0000 0.0000 0.0000 0.0000 18.9490 25.7940 
2026 1 15 9 16.5910 29.3100 0.0000 2.0000 333.1268 999.9757 0.4996 0.0000 24.3630 0.0000 0.0000 0.0000 0.0000 0.0000 18.5910 24.3630 
2026 1 15 10 16.1250 35.0000 0.0000 2.0000 333.1110 999.9739 0.4996 0.0000 22.5000 0.0000 0.0000 0.0000 0.0000 0.0000 18.1250 22.5000 
2026 1 15 11 15.5820 40.6900 0.0000 2.0000 333.1011 999.9727 0.4995 0.0000 20.3280 0.0000 0.0000 0.0000 0.0000 0.0000 17.5820 20.3280 
2026 1 15 12 15.0000 46.0000 0.0000 2.0000 333.0975 999.9722 0.4995 0.0000 18.0000 0.0000 0.0000 0.0000 0.0000 0.0000 17.0000 18.0000 
2026 1 15 13 14.4180 50.5600 0.0000 2.0000 333.1002 999.9726 0.4995 0.0000 15.6720 0.0000 0.0000 0.0000 0.0000 0.0000 16.4180 15.6720 
2026 1 15 14 13.8750 54.0500 0.0000 2.0000 333.1088 999.9736 0.4996 0.0000 13.5000 0.0000 0.0000 0.0000 0.0000 0.0000 15.8750 13.5000 
2026 1 15 15 13.4090 56.2500 0.0000 2.0000 333.1224 999.9752 0.4996 0.0000 11.6370 0.0000 0.0000 0.0000 0.0000 0.0000 15.4090 11.6370 
2026 1 15 16 13.0510 57.0000 0.0000 2.0000 333.1398 999.9773 0.4996 0.0000 10.2060 0.0000 0.0000 0.0000 0.0000 0.0000 15.0510 10.2060 
2026 1 15 17 12.8270 56.2500 0.0000 2.0000 333.1597 999.9797 0.4997 0.0000 9.3060 0.0000 0.0000 0.0000 0.0000 0.0000 14.8270 9.3060 
2026 1 15 18 12.7500 54.0500 0.0000 2.0000 333.1804 999.9822 0.4997 0.0000 9.0000 0.0000 0.0000 0.0000 0.0000 0.0000 14.7500 9.0000 
2026 1 15 19 12.8270 50.5600 0.0000 2.0000 333.2002 999.9846 0.4997 0.0000 9.3060 0.0000 0.0000 0.0000 0.0000 0.0000 14.8270 9.3060 
2026 1 15 20 13.0510 46.0000 0.0000 2.0000 333.2177 999.9867 0.4998 0.0000 10.2060 0.0000 0.0000 0.0000 0.0000 0.0000 15.0510 10.2060 
2026 1 15 21 13.4090 40.6900 0.0000 2.0000 333.2313 999.9883 0.4998 0.0000 11.6370 0.0000 0.0000 0.0000 0.0000 0.0000 15.4090 11.6370 
2026 1 15 22 13.8750 35.0000 0.0000 2.0000 333.2398 999.9893 0.4998 0.0000 13.5000 0.0000 0.0000 0.0000 0.0000 0.0000 15.8750 13.5000 
