CHANNEL node 5 DUGGBEKKEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 2.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 1 15 0 0.8000 0.00422538 0.4596 5.0000 
2026 1 15 1 0.8000 0.00506364 0.5672 5.0000 
2026 1 15 2 0.8000 0.00549241 0.6809 5.0000 
2026 1 15 3 0.8000 0.00566784 0.7513 5.0000 
2026 1 15 4 0.8000 0.00573054 0.7826 5.0000 
2026 1 15 5 0.8000 0.00575107 0.7943 5.0000 
2026 1 15 6 0.8000 0.00575740 0.7982 5.0000 
2026 1 15 7 0.8000 0.00575927 0.7995 0.0000 
2026 1 15 8 0.8000 0.00575980 0.7999 0.0000 
2026 1 15 9 0.8000 0.00575995 0.8000 0.0000 
2026 1 15 10 0.8000 0.00575999 0.8000 0.0000 
2026 1 15 11 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 12 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 13 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 14 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 15 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 16 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 17 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 18 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 19 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 20 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 21 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 22 0.8000 0.00576000 0.8000 0.0000 
2026 1 15 23 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 0 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 1 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 2 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 3 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 4 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 5 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 6 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 7 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 8 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 9 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 10 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 11 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 12 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 13 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 14 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 15 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 16 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 17 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 18 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 19 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 20 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 21 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 22 0.8000 0.00576000 0.8000 0.0000 
2026 1 16 23 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 0 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 1 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 2 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 3 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 4 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 5 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 6 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 7 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 8 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 9 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 10 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 11 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 12 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 13 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 14 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 15 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 16 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 17 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 18 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 19 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 20 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 21 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 22 0.8000 0.00576000 0.8000 0.0000 
2026 1 17 23 0.8000 0.00576000 0.8000 0.0000 
