RESERVOIR node 6 KLARVIK
reservoir_init_fr= 0.40000  init_masl=201.400
Filling at HRW [Mm3] = 13.12429
Filling at LRW [Mm3] = 3.12483
Active reservoir capacity [Mm3] = 9.99946
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s]   [m3/s]    [m3/s]     [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin pump_in pump_out tot_inflow tot_outflow
2026 1 15 0 2.4000 24.0000 1.0000 18.4596 7.1457 201.4338 0.4021 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 20.8596 15.0000 
2026 1 15 1 2.3860 19.4400 1.0000 20.8952 7.1755 201.4815 0.4051 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 23.2812 15.0000 
2026 1 15 2 2.3460 15.9500 1.0000 23.1809 7.2134 201.5421 0.4089 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 25.5269 15.0000 
2026 1 15 3 2.2830 13.7500 1.0000 25.1143 7.2580 201.6135 0.4133 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 27.3973 15.0000 
2026 1 15 4 2.2000 13.0000 1.0000 26.5766 7.3076 201.6929 0.4183 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 28.7766 15.0000 
2026 1 15 5 2.1040 13.7500 1.0000 27.4883 7.3602 201.7769 0.4236 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 29.5923 15.0000 
2026 1 15 6 2.0000 15.9500 1.0000 27.7982 7.4134 201.8622 0.4289 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 29.7982 15.0000 
2026 1 15 7 1.8960 19.4400 1.0000 27.4935 7.4653 201.9450 0.4341 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 29.3895 15.0000 
2026 1 15 8 1.8000 24.0000 1.0000 26.5939 7.5135 202.0222 0.4389 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 28.3939 15.0000 
2026 1 15 9 1.7170 29.3100 1.0000 25.1630 7.5562 202.0906 0.4432 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 26.8800 15.0000 
2026 1 15 10 1.6540 35.0000 1.0000 23.3000 7.5921 202.1480 0.4467 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 24.9540 15.0000 
2026 1 15 11 1.6140 40.6900 1.0000 21.1280 7.6199 202.1926 0.4495 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 22.7420 15.0000 
2026 1 15 12 1.6000 46.0000 1.0000 18.8000 7.6394 202.2237 0.4515 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 20.4000 15.0000 
2026 1 15 13 1.6140 50.5600 1.0000 16.4720 7.6505 202.2415 0.4526 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 18.0860 15.0000 
2026 1 15 14 1.6540 54.0500 1.0000 14.3000 7.6539 202.2469 0.4529 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 15.9540 15.0000 
2026 1 15 15 1.7170 56.2500 1.0000 12.4370 7.6509 202.2421 0.4526 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 14.1540 15.0000 
2026 1 15 16 1.8000 57.0000 1.0000 11.0060 7.6430 202.2294 0.4518 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 12.8060 15.0000 
2026 1 15 17 1.8960 56.2500 1.0000 10.1060 7.6322 202.2122 0.4508 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 12.0020 15.0000 
2026 1 15 18 2.0000 54.0500 1.0000 9.8000 7.6207 202.1937 0.4496 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 11.8000 15.0000 
2026 1 15 19 2.1040 50.5600 1.0000 10.1060 7.6106 202.1777 0.4486 0.0000 0.0000 15.0000 0.0000 0.0000 0.0000 0.0000 12.2100 15.0000 
