CHANNEL node 7 SKYRENNA
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 1 15 0 0.0000 0.02269547 2.0290 0.0000 
2026 1 15 1 0.0000 0.01612512 1.8251 0.0000 
2026 1 15 2 0.0000 0.01082075 1.4734 0.0000 
2026 1 15 3 0.0000 0.00693216 1.0802 0.0000 
2026 1 15 4 0.0000 0.00427984 0.7368 0.0000 
2026 1 15 5 0.0000 0.00256513 0.4763 0.0000 
2026 1 15 6 0.0000 0.00150080 0.2956 0.0000 
2026 1 15 7 0.0000 0.00086081 0.1778 0.0000 
2026 1 15 8 0.0000 0.00048559 0.1042 0.0000 
2026 1 15 9 0.0000 0.00027010 0.0599 0.0000 
2026 1 15 10 0.0000 0.00014843 0.0338 0.0000 
2026 1 15 11 0.0000 0.00008072 0.0188 0.0000 
2026 1 15 12 0.0000 0.00004350 0.0103 0.0000 
2026 1 15 13 0.0000 0.00002326 0.0056 0.0000 
2026 1 15 14 0.0000 0.00001235 0.0030 0.0000 
2026 1 15 15 0.0000 0.00000651 0.0016 0.0000 
2026 1 15 16 0.0000 0.00000341 0.0009 0.0000 
2026 1 15 17 0.0000 0.00000178 0.0005 0.0000 
2026 1 15 18 0.0000 0.00000093 0.0002 0.0000 
2026 1 15 19 0.0000 0.00000048 0.0001 0.0000 
2026 1 15 20 0.0000 0.00000025 0.0001 0.0000 
2026 1 15 21 0.0000 0.00000013 0.0000 0.0000 
2026 1 15 22 0.0000 0.00000006 0.0000 0.0000 
2026 1 15 23 0.0000 0.00000003 0.0000 0.0000 
2026 1 16 0 0.0000 0.00000002 0.0000 0.0000 
2026 1 16 1 0.0000 0.00000001 0.0000 0.0000 
2026 1 16 2 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 3 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 4 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 5 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 6 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 7 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 8 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 9 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 10 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 11 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 12 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 13 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 14 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 15 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 16 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 17 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 18 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 19 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 20 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 21 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 22 0.0000 0.00000000 0.0000 0.0000 
2026 1 16 23 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 0 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 1 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 2 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 3 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 4 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 5 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 6 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 7 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 8 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 9 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 10 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 11 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 12 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 13 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 14 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 15 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 16 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 17 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 18 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 19 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 20 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 21 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 22 0.0000 0.00000000 0.0000 0.0000 
2026 1 17 23 0.0000 0.00000000 0.0000 0.0000 
