CHANNEL node 8 KLARELVA
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 3.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 1 15 0 15.0000 0.06156043 2.0665 0.0000 
2026 1 15 1 15.0000 0.10017158 4.2747 0.0000 
2026 1 15 2 15.0000 0.12722414 7.4854 0.0000 
2026 1 15 3 15.0000 0.14372214 10.4172 0.0000 
2026 1 15 4 15.0000 0.15286880 12.4593 0.0000 
2026 1 15 5 15.0000 0.15761198 13.6824 0.0000 
2026 1 15 6 15.0000 0.15995454 14.3493 0.0000 
2026 1 15 7 15.0000 0.16106949 14.6903 0.0000 
2026 1 15 8 15.0000 0.16158506 14.8568 0.0000 
2026 1 15 9 15.0000 0.16181801 14.9353 0.0000 
2026 1 15 10 15.0000 0.16192129 14.9713 0.0000 
2026 1 15 11 15.0000 0.16196636 14.9875 0.0000 
2026 1 15 12 15.0000 0.16198577 14.9946 0.0000 
2026 1 15 13 15.0000 0.16199404 14.9977 0.0000 
2026 1 15 14 15.0000 0.16199752 14.9990 0.0000 
2026 1 15 15 15.0000 0.16199898 14.9996 0.0000 
2026 1 15 16 15.0000 0.16199958 14.9998 0.0000 
2026 1 15 17 15.0000 0.16199983 14.9999 0.0000 
2026 1 15 18 15.0000 0.16199993 15.0000 0.0000 
2026 1 15 19 15.0000 0.16199997 15.0000 0.0000 
2026 1 15 20 15.0000 0.16199999 15.0000 0.0000 
2026 1 15 21 15.0000 0.16200000 15.0000 0.0000 
2026 1 15 22 15.0000 0.16200000 15.0000 0.0000 
2026 1 15 23 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 0 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 1 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 2 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 3 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 4 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 5 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 6 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 7 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 8 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 9 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 10 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 11 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 12 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 13 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 14 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 15 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 16 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 17 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 18 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 19 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 20 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 21 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 22 15.0000 0.16200000 15.0000 0.0000 
2026 1 16 23 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 0 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 1 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 2 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 3 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 4 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 5 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 6 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 7 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 8 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 9 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 10 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 11 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 12 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 13 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 14 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 15 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 16 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 17 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 18 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 19 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 20 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 21 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 22 15.0000 0.16200000 15.0000 0.0000 
2026 1 17 23 15.0000 0.16200000 15.0000 0.0000 
