CHANNEL node 9 SAMLOPET
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 1.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 1 15 0 4.0956 0.01961041 6.9816 0.0000 
2026 1 15 1 6.0998 0.02056511 5.8346 0.0000 
2026 1 15 2 8.9588 0.02864077 6.7156 0.0000 
2026 1 15 3 11.4974 0.03782443 8.9464 0.0000 
2026 1 15 4 13.1960 0.04493970 11.2196 0.0000 
2026 1 15 5 14.1588 0.04943531 12.9100 0.0000 
2026 1 15 6 14.6449 0.05191090 13.9573 0.0000 
2026 1 15 7 14.8681 0.05313767 14.5273 0.0000 
2026 1 15 8 14.9610 0.05369118 14.8073 0.0000 
2026 1 15 9 14.9952 0.05391690 14.9324 0.0000 
2026 1 15 10 15.0051 0.05399686 14.9829 0.0000 
2026 1 15 11 15.0063 0.05401809 15.0004 0.0000 
2026 1 15 12 15.0049 0.05401877 15.0048 0.0000 
2026 1 15 13 15.0033 0.05401407 15.0046 0.0000 
2026 1 15 14 15.0021 0.05400926 15.0034 0.0000 
2026 1 15 15 15.0012 0.05400566 15.0022 0.0000 
2026 1 15 16 15.0007 0.05400331 15.0013 0.0000 
2026 1 15 17 15.0004 0.05400187 15.0008 0.0000 
2026 1 15 18 15.0002 0.05400104 15.0004 0.0000 
2026 1 15 19 15.0001 0.05400056 15.0002 0.0000 
2026 1 15 20 15.0001 0.05400030 15.0001 0.0000 
2026 1 15 21 15.0000 0.05400016 15.0001 0.0000 
2026 1 15 22 15.0000 0.05400008 15.0000 0.0000 
2026 1 15 23 15.0000 0.05400004 15.0000 0.0000 
2026 1 16 0 15.0000 0.05400002 15.0000 0.0000 
2026 1 16 1 15.0000 0.05400001 15.0000 0.0000 
2026 1 16 2 15.0000 0.05400001 15.0000 0.0000 
2026 1 16 3 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 4 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 5 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 6 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 7 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 8 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 9 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 10 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 11 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 12 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 13 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 14 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 15 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 16 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 17 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 18 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 19 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 20 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 21 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 22 15.0000 0.05400000 15.0000 0.0000 
2026 1 16 23 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 0 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 1 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 2 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 3 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 4 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 5 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 6 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 7 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 8 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 9 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 10 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 11 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 12 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 13 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 14 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 15 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 16 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 17 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 18 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 19 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 20 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 21 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 22 15.0000 0.05400000 15.0000 0.0000 
2026 1 17 23 15.0000 0.05400000 15.0000 0.0000 
