Riversystem FABELVASSDRAGET reservoir fractions [fr] 
YYYY MM DD HH DUGGTJERN SKYTRONA KLARVIK SKYFONNA TROLLDAMMEN SALTVIKA 
2026 1 15 0 0.9440 0.5000 0.4021 0.6490 0.5533 0.4832 
2026 1 15 1 0.9382 0.5000 0.4051 0.6480 0.5565 0.4664 
2026 1 15 2 0.9324 0.4999 0.4089 0.6471 0.5598 0.4495 
2026 1 15 3 0.9266 0.4999 0.4133 0.6462 0.5631 0.4327 
2026 1 15 4 0.9208 0.4999 0.4183 0.6454 0.5665 0.4158 
2026 1 15 5 0.9150 0.4998 0.4236 0.6448 0.5699 0.3990 
2026 1 15 6 0.9090 0.4997 0.4289 0.6457 0.5708 0.3880 
2026 1 15 7 0.9029 0.4997 0.4341 0.6467 0.5717 0.3770 
2026 1 15 8 0.8966 0.4996 0.4389 0.6478 0.5726 0.3661 
2026 1 15 9 0.8901 0.4996 0.4432 0.6491 0.5735 0.3551 
2026 1 15 10 0.8835 0.4996 0.4467 0.6490 0.5748 0.3441 
2026 1 15 11 0.8766 0.4995 0.4495 0.6491 0.5761 0.3332 
2026 1 15 12 0.8696 0.4995 0.4515 0.6491 0.5751 0.3289 
2026 1 15 13 0.8625 0.4995 0.4526 0.6492 0.5742 0.3247 
2026 1 15 14 0.8553 0.4996 0.4529 0.6492 0.5732 0.3204 
2026 1 15 15 0.8481 0.4996 0.4526 0.6492 0.5723 0.3161 
2026 1 15 16 0.8410 0.4996 0.4518 0.6490 0.5715 0.3119 
2026 1 15 17 0.8339 0.4997 0.4508 0.6488 0.5707 0.3076 
2026 1 15 18 0.8269 0.4997 0.4496 0.6484 0.5700 0.3033 
2026 1 15 19 0.8200 0.4997 0.4486 0.6478 0.5693 0.2991 
2026 1 15 20 0.8134 0.4998 0.4480 0.6472 0.5687 0.3008 
2026 1 15 21 0.8069 0.4998 0.4479 0.6464 0.5681 0.3025 
2026 1 15 22 0.8006 0.4998 0.4484 0.6455 0.5676 0.3042 
2026 1 15 23 0.7945 0.4998 0.4498 0.6446 0.5670 0.3058 
2026 1 16 0 0.7885 0.4998 0.4521 0.6436 0.5685 0.3017 
2026 1 16 1 0.7827 0.4998 0.4551 0.6426 0.5699 0.2975 
2026 1 16 2 0.7769 0.4998 0.4590 0.6416 0.5713 0.2933 
2026 1 16 3 0.7711 0.4997 0.4634 0.6408 0.5727 0.2892 
2026 1 16 4 0.7653 0.4997 0.4684 0.6400 0.5740 0.2850 
2026 1 16 5 0.7595 0.4996 0.4737 0.6393 0.5753 0.2808 
2026 1 16 6 0.7535 0.4996 0.4790 0.6402 0.5740 0.2802 
2026 1 16 7 0.7474 0.4995 0.4842 0.6412 0.5726 0.2797 
2026 1 16 8 0.7411 0.4995 0.4890 0.6424 0.5712 0.2791 
2026 1 16 9 0.7346 0.4994 0.4933 0.6436 0.5698 0.2786 
2026 1 16 10 0.7279 0.4994 0.4969 0.6436 0.5688 0.2780 
2026 1 16 11 0.7211 0.4994 0.4997 0.6436 0.5679 0.2775 
2026 1 16 12 0.7141 0.4994 0.5016 0.6437 0.5692 0.2703 
2026 1 16 13 0.7070 0.4994 0.5027 0.6437 0.5705 0.2631 
2026 1 16 14 0.6998 0.4994 0.5030 0.6438 0.5719 0.2559 
2026 1 16 15 0.6926 0.4994 0.5027 0.6437 0.5733 0.2488 
2026 1 16 16 0.6855 0.4994 0.5020 0.6436 0.5747 0.2416 
2026 1 16 17 0.6784 0.4995 0.5009 0.6433 0.5762 0.2344 
2026 1 16 18 0.6714 0.4995 0.4997 0.6429 0.5778 0.2272 
2026 1 16 19 0.6645 0.4996 0.4987 0.6424 0.5794 0.2200 
2026 1 16 20 0.6579 0.4996 0.4981 0.6417 0.5810 0.2128 
2026 1 16 21 0.6514 0.4996 0.4980 0.6409 0.5827 0.2056 
2026 1 16 22 0.6451 0.4996 0.4986 0.6401 0.5845 0.1984 
2026 1 16 23 0.6390 0.4997 0.5000 0.6391 0.5862 0.1911 
2026 1 17 0 0.6330 0.4996 0.5022 0.6381 0.5877 0.1847 
2026 1 17 1 0.6271 0.4996 0.5053 0.6371 0.5891 0.1783 
2026 1 17 2 0.6214 0.4996 0.5091 0.6362 0.5905 0.1719 
2026 1 17 3 0.6156 0.4996 0.5136 0.6353 0.5919 0.1655 
2026 1 17 4 0.6098 0.4995 0.5185 0.6345 0.5932 0.1628 
2026 1 17 5 0.6040 0.4995 0.5238 0.6339 0.5945 0.1601 
2026 1 17 6 0.5980 0.4994 0.5291 0.6348 0.5932 0.1633 
2026 1 17 7 0.5919 0.4993 0.5343 0.6358 0.5918 0.1665 
2026 1 17 8 0.5856 0.4993 0.5391 0.6369 0.5904 0.1697 
2026 1 17 9 0.5791 0.4993 0.5434 0.6382 0.5890 0.1729 
2026 1 17 10 0.5724 0.4992 0.5470 0.6382 0.5880 0.1761 
2026 1 17 11 0.5656 0.4992 0.5498 0.6382 0.5871 0.1793 
2026 1 17 12 0.5586 0.4992 0.5517 0.6382 0.5861 0.1825 
2026 1 17 13 0.5515 0.4992 0.5528 0.6383 0.5851 0.1858 
2026 1 17 14 0.5443 0.4992 0.5532 0.6383 0.5842 0.1890 
2026 1 17 15 0.5371 0.4992 0.5529 0.6383 0.5833 0.1922 
2026 1 17 16 0.5299 0.4993 0.5521 0.6381 0.5825 0.1955 
2026 1 17 17 0.5228 0.4993 0.5510 0.6379 0.5817 0.1987 
2026 1 17 18 0.5159 0.4994 0.5498 0.6375 0.5810 0.1982 
2026 1 17 19 0.5090 0.4994 0.5488 0.6369 0.5803 0.1977 
2026 1 17 20 0.5024 0.4994 0.5482 0.6363 0.5797 0.1971 
2026 1 17 21 0.4959 0.4995 0.5481 0.6355 0.5791 0.1966 
2026 1 17 22 0.4896 0.4995 0.5487 0.6346 0.5785 0.1960 
2026 1 17 23 0.4835 0.4995 0.5501 0.6337 0.5780 0.1954 
