RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.00000  init_masl=748.000
Filling at HRW [Mm3] = 9.08100
Filling at LRW [Mm3] = 0.00000
Active reservoir capacity [Mm3] = 9.08100
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s]   [m3/s]    [m3/s]     [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin pump_in pump_out tot_inflow tot_outflow
2026 5 7 0 0.0000 24.8800 0.0000 0.0000 0.0000 748.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 1 0.0000 25.8500 0.0000 0.0000 0.0000 748.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 2 600.0000 28.0000 0.0000 0.0000 2.1600 750.1554 0.2379 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 600.0000 0.0000 
2026 5 7 3 0.0000 23.0000 0.0000 0.0000 2.1600 750.1554 0.2379 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 4 0.0000 35.0000 0.0000 0.0000 2.1600 750.1554 0.2379 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 5 0.0000 39.0000 0.0000 0.0000 2.1600 750.1554 0.2379 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 6 0.0000 45.0000 0.0000 0.0000 2.1600 750.1554 0.2379 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 7 0.0000 26.5600 0.0000 0.0000 2.1600 750.1554 0.2379 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 8 0.0000 52.9300 0.0000 0.0000 2.1600 750.1554 0.2379 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 9 0.0000 10.9400 0.0000 0.0000 2.1600 750.1554 0.2379 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 10 0.0000 10.0100 0.0000 0.0000 2.1600 750.1554 0.2379 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 11 0.0000 17.9500 0.0000 0.0000 2.1600 750.1554 0.2379 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 12 0.0000 82.5800 0.0000 0.0000 2.1456 750.1410 0.2363 0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 13 0.0000 25.5000 0.0000 0.0000 2.1456 750.1410 0.2363 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 14 0.0000 55.8200 0.0000 0.0000 2.1312 750.1267 0.2347 0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 15 0.0000 29.3900 0.0000 0.0000 2.1190 750.1145 0.2333 0.0000 3.4000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 3.4000 
2026 5 7 16 0.0000 46.9600 0.0000 0.0000 2.1046 750.1001 0.2318 0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 17 0.0000 17.5900 0.0000 0.0000 2.0935 750.0891 0.2305 0.0000 3.0800 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 3.0800 
2026 5 7 18 0.0000 88.3300 0.0000 0.0000 2.0791 750.0748 0.2289 0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 19 0.0000 80.8200 0.0000 0.0000 2.0647 750.0604 0.2274 0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 20 1.9100 88.8300 0.0000 0.0000 2.0571 750.0529 0.2265 0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.9100 4.0000 
2026 5 7 21 1.7900 78.9000 0.0000 0.0000 2.0492 750.0450 0.2257 0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.7900 4.0000 
2026 5 7 22 1.8800 59.9800 0.0000 0.0000 2.0416 750.0374 0.2248 0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.8800 4.0000 
2026 5 7 23 2.0100 50.7100 0.0000 0.0000 2.0344 750.0303 0.2240 0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 2.0100 4.0000 
2026 5 8 0 4.9400 99.0800 0.0000 0.0000 2.0378 750.0336 0.2244 0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 4.9400 4.0000 
2026 5 8 1 9.5600 59.4000 0.0000 0.0000 2.0578 750.0536 0.2266 0.0000 4.0000 0.0000 0.0000 0.0000 0.0000 0.0000 9.5600 4.0000 
2026 5 8 2 14.4000 16.8900 0.0000 0.0000 2.0988 750.0944 0.2311 0.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 14.4000 3.0000 
2026 5 8 3 26.1100 18.5200 0.0000 0.0000 2.1820 750.1773 0.2403 0.0000 3.0000 0.0000 0.0000 0.0000 0.0000 0.0000 26.1100 3.0000 
