CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 5 7 0 0.0000 0.00405784 0.5395 0.0000 
2026 5 7 1 0.0000 0.00263258 0.3959 0.0000 
2026 5 7 2 0.0000 0.00164675 0.2738 0.0000 
2026 5 7 3 0.0000 0.00099907 0.1799 0.0000 
2026 5 7 4 0.0000 0.00059094 0.1134 0.0000 
2026 5 7 5 0.0000 0.00034222 0.0691 0.0000 
2026 5 7 6 0.0000 0.00019469 0.0410 0.0000 
2026 5 7 7 0.0000 0.00010910 0.0238 0.0000 
2026 5 7 8 0.0000 0.00006035 0.0135 0.0000 
2026 5 7 9 0.0000 0.00003302 0.0076 0.0000 
2026 5 7 10 0.0000 0.00001789 0.0042 0.0000 
2026 5 7 11 0.0000 0.00000961 0.0023 0.0000 
2026 5 7 12 4.0000 0.01402981 0.1055 0.0000 
2026 5 7 13 0.0000 0.01261778 0.3922 0.0000 
2026 5 7 14 4.0000 0.02421051 0.7798 0.0000 
2026 5 7 15 3.4000 0.03200289 1.2355 0.0000 
2026 5 7 16 4.0000 0.04002476 1.7717 0.0000 
2026 5 7 17 3.0800 0.04282935 2.3009 0.0000 
2026 5 7 18 4.0000 0.04740494 2.7290 0.0000 
2026 5 7 19 4.0000 0.05079752 3.0576 0.0000 
2026 5 7 20 4.0000 0.05322787 3.3249 0.0000 
2026 5 7 21 4.0000 0.05488322 3.5402 0.0000 
2026 5 7 22 4.0000 0.05595973 3.7010 0.0000 
2026 5 7 23 4.0000 0.05663335 3.8129 0.0000 
2026 5 8 0 4.0000 0.05704179 3.8865 0.0000 
2026 5 8 1 4.0000 0.05728315 3.9330 0.0000 
2026 5 8 2 3.0000 0.05391659 3.9352 0.0000 
2026 5 8 3 3.0000 0.05084216 3.8540 0.0000 
2026 5 8 4 3.0000 0.04834047 3.6949 0.0000 
2026 5 8 5 0.0000 0.03597997 3.4335 0.0000 
2026 5 8 6 0.0000 0.02525897 2.9781 0.0000 
2026 5 8 7 0.0000 0.01680487 2.3484 0.0000 
2026 5 8 8 0.0000 0.01069833 1.6963 0.0000 
2026 5 8 9 4.0000 0.02059854 1.2499 0.0000 
2026 5 8 10 4.0000 0.03056542 1.2314 0.0000 
2026 5 8 11 4.0000 0.03911433 1.6253 0.0000 
2026 5 8 12 4.0000 0.04560073 2.1982 0.0000 
2026 5 8 13 4.0000 0.05012055 2.7445 0.0000 
2026 5 8 14 4.0000 0.05308469 3.1766 0.0000 
2026 5 8 15 4.0000 0.05494332 3.4837 0.0000 
2026 5 8 16 4.0000 0.05606939 3.6872 0.0000 
2026 5 8 17 4.0000 0.05673343 3.8155 0.0000 
2026 5 8 18 4.0000 0.05711654 3.8936 0.0000 
2026 5 8 19 4.0000 0.05733364 3.9397 0.0000 
2026 5 8 20 4.0000 0.05745483 3.9663 0.0000 
2026 5 8 21 4.0000 0.05752162 3.9814 0.0000 
2026 5 8 22 4.0000 0.05755803 3.9899 0.0000 
2026 5 8 23 4.0000 0.05757769 3.9945 0.0000 
