Riversystem mini_uTAHPS_hourly reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2026 5 7 0 0.0000 
2026 5 7 1 0.0000 
2026 5 7 2 0.2379 
2026 5 7 3 0.2379 
2026 5 7 4 0.2379 
2026 5 7 5 0.2379 
2026 5 7 6 0.2379 
2026 5 7 7 0.2379 
2026 5 7 8 0.2379 
2026 5 7 9 0.2379 
2026 5 7 10 0.2379 
2026 5 7 11 0.2379 
2026 5 7 12 0.2363 
2026 5 7 13 0.2363 
2026 5 7 14 0.2347 
2026 5 7 15 0.2333 
2026 5 7 16 0.2318 
2026 5 7 17 0.2305 
2026 5 7 18 0.2289 
2026 5 7 19 0.2274 
2026 5 7 20 0.2265 
2026 5 7 21 0.2257 
2026 5 7 22 0.2248 
2026 5 7 23 0.2240 
2026 5 8 0 0.2244 
2026 5 8 1 0.2266 
2026 5 8 2 0.2311 
2026 5 8 3 0.2403 
2026 5 8 4 0.2462 
2026 5 8 5 0.2516 
2026 5 8 6 0.2536 
2026 5 8 7 0.2560 
2026 5 8 8 0.2560 
2026 5 8 9 0.2544 
2026 5 8 10 0.2528 
2026 5 8 11 0.2512 
2026 5 8 12 0.2496 
2026 5 8 13 0.2481 
2026 5 8 14 0.2465 
2026 5 8 15 0.2449 
2026 5 8 16 0.2449 
2026 5 8 17 0.2465 
2026 5 8 18 0.2524 
2026 5 8 19 0.2520 
2026 5 8 20 0.2504 
2026 5 8 21 0.2488 
2026 5 8 22 0.2473 
2026 5 8 23 0.2457 
