RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.67000  masl=754.380
Filling at HRW [Mm3] = 12.03297
Filling at LRW [Mm3] = 3.00824
Active reservoir capacity [Mm3] = 9.02473
outlet_auto_qmin_masl [masl] = 745.500
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2026 5 7 0 1.5000 24.8800 0.0000 0.0000 9.0559 754.0311 0.6701 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 1 1.3500 25.8500 0.0000 0.0000 9.0564 754.0316 0.6702 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 2 1.2400 28.0000 0.0000 0.0000 9.0566 754.0318 0.6702 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 3 1.5000 23.0000 0.0000 0.0000 9.0577 754.0328 0.6703 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 4 1.5500 35.0000 0.0000 0.0000 9.0589 754.0341 0.6705 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 5 1.6300 39.0000 0.0000 0.0000 9.0605 754.0356 0.6706 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 6 1.6000 45.0000 0.0000 0.0000 9.0619 754.0371 0.6708 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 7 1.4600 26.5600 0.0000 0.0000 9.0628 754.0380 0.6709 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 8 1.3500 52.9300 0.0000 0.0000 9.0634 754.0385 0.6709 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 9 1.3400 10.9400 0.0000 0.0000 9.0639 754.0390 0.6710 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 10 1.4500 10.0100 0.0000 0.0000 9.0648 754.0399 0.6711 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 11 0.0000 17.9500 0.0000 0.0000 9.0605 754.0356 0.6706 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 12 0.0000 82.5800 0.0000 0.0000 9.0561 754.0313 0.6701 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 13 0.0000 25.5000 0.0000 0.0000 9.0518 754.0270 0.6697 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 14 0.0000 55.8200 0.0000 0.0000 9.0475 754.0227 0.6692 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 15 0.0000 29.3900 0.0000 0.0000 9.0432 754.0184 0.6687 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 16 0.0000 46.9600 0.0000 0.0000 9.0389 754.0141 0.6682 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 17 0.0000 17.5900 0.0000 0.0000 9.0345 754.0098 0.6678 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 18 0.0000 88.3300 0.0000 0.0000 9.0302 754.0055 0.6673 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 19 0.0000 80.8200 0.0000 0.0000 9.0259 754.0012 0.6668 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 20 1.9100 88.8300 0.0000 0.0000 9.0285 754.0037 0.6671 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 21 1.7900 78.9000 0.0000 0.0000 9.0306 754.0058 0.6673 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 7 22 1.8800 59.9800 0.0000 0.0000 9.0330 754.0083 0.6676 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
