CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 5 7 0 1.2000 0.00826525 0.5708 5.0000 
2026 5 7 1 1.2000 0.01062451 0.5446 5.0000 
2026 5 7 2 1.2000 0.01269399 0.6251 5.0000 
2026 5 7 3 1.2000 0.01428615 0.7577 5.0000 
2026 5 7 4 1.2000 0.01540576 0.8890 5.0000 
2026 5 7 5 1.2000 0.01614470 0.9947 5.0000 
2026 5 7 6 1.2000 0.01661023 1.0707 5.0000 
2026 5 7 7 1.2000 0.01689327 1.1214 5.0000 
2026 5 7 8 1.2000 0.01706065 1.1535 5.0000 
2026 5 7 9 1.2000 0.01715744 1.1731 5.0000 
2026 5 7 10 1.2000 0.01721239 1.1847 5.0000 
2026 5 7 11 1.2000 0.01724311 1.1915 5.0000 
2026 5 7 12 1.2000 0.01726006 1.1953 5.0000 
2026 5 7 13 1.2000 0.01726932 1.1974 5.0000 
2026 5 7 14 1.2000 0.01727432 1.1986 5.0000 
2026 5 7 15 1.2000 0.01727700 1.1993 0.0000 
2026 5 7 16 1.2000 0.01727842 1.1996 0.0000 
2026 5 7 17 1.2000 0.01727918 1.1998 0.0000 
2026 5 7 18 1.2000 0.01727957 1.1999 0.0000 
2026 5 7 19 1.2000 0.01727978 1.1999 0.0000 
2026 5 7 20 1.2000 0.01727989 1.2000 0.0000 
2026 5 7 21 1.2000 0.01727994 1.2000 0.0000 
2026 5 7 22 1.2000 0.01727997 1.2000 0.0000 
2026 5 7 23 1.2000 0.01727998 1.2000 0.0000 
2026 5 8 0 1.2000 0.01727999 1.2000 0.0000 
2026 5 8 1 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 2 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 3 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 4 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 5 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 6 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 7 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 8 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 9 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 10 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 11 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 12 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 13 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 14 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 15 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 16 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 17 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 18 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 19 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 20 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 21 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 22 1.2000 0.01728000 1.2000 0.0000 
2026 5 8 23 1.2000 0.01728000 1.2000 0.0000 
