Riversystem mini_uTAHPS_qmin reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2026 5 7 0 0.6701 
2026 5 7 1 0.6702 
2026 5 7 2 0.6702 
2026 5 7 3 0.6703 
2026 5 7 4 0.6705 
2026 5 7 5 0.6706 
2026 5 7 6 0.6708 
2026 5 7 7 0.6709 
2026 5 7 8 0.6709 
2026 5 7 9 0.6710 
2026 5 7 10 0.6711 
2026 5 7 11 0.6706 
2026 5 7 12 0.6701 
2026 5 7 13 0.6697 
2026 5 7 14 0.6692 
2026 5 7 15 0.6687 
2026 5 7 16 0.6682 
2026 5 7 17 0.6678 
2026 5 7 18 0.6673 
2026 5 7 19 0.6668 
2026 5 7 20 0.6671 
2026 5 7 21 0.6673 
2026 5 7 22 0.6676 
2026 5 7 23 0.6679 
2026 5 8 0 0.6694 
2026 5 8 1 0.6727 
2026 5 8 2 0.6780 
2026 5 8 3 0.6879 
2026 5 8 4 0.6946 
2026 5 8 5 0.6996 
2026 5 8 6 0.7011 
2026 5 8 7 0.7030 
2026 5 8 8 0.7025 
2026 5 8 9 0.7021 
2026 5 8 10 0.7016 
2026 5 8 11 0.7011 
2026 5 8 12 0.7006 
2026 5 8 13 0.7001 
2026 5 8 14 0.6997 
2026 5 8 15 0.6992 
2026 5 8 16 0.7003 
2026 5 8 17 0.7030 
2026 5 8 18 0.7101 
2026 5 8 19 0.7108 
2026 5 8 20 0.7104 
2026 5 8 21 0.7099 
2026 5 8 22 0.7094 
2026 5 8 23 0.7089 
