RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.70000  init_masl=754.204
Filling at HRW [Mm3] = 10.00000
Filling at LRW [Mm3] = 1.00000
Active reservoir capacity [Mm3] = 9.00000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s]   [m3/s]    [m3/s]     [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin pump_in pump_out tot_inflow tot_outflow
2022 9 1 0 0.3600 495.0100 0.0000 0.0000 7.2898 754.1936 0.6989 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3600 3.2000 
2022 9 1 1 0.3600 494.9900 0.0000 0.0000 7.2796 754.1830 0.6977 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3600 3.2000 
2022 9 1 2 0.3600 490.5800 0.0000 0.0000 7.2693 754.1724 0.6966 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3600 3.2000 
2022 9 1 3 0.3600 501.0100 0.0000 0.0000 7.2591 754.1618 0.6955 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3600 3.2000 
2022 9 1 4 0.3600 568.4400 0.0000 0.0000 7.2489 754.1512 0.6943 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3600 3.2000 
2022 9 1 5 0.3600 590.4500 0.0000 0.0000 7.2387 754.1406 0.6932 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3600 3.2000 
2022 9 1 6 0.3500 643.5100 0.0000 0.0000 7.2284 754.1300 0.6920 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3500 3.2000 
2022 9 1 7 0.3500 639.9000 0.0000 0.0000 7.2181 754.1194 0.6909 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3500 3.2000 
2022 9 1 8 0.3500 595.2600 0.0000 0.0000 7.2079 754.1087 0.6898 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3500 3.2000 
2022 9 1 9 0.3500 577.0100 0.0000 0.0000 7.1976 754.0981 0.6886 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3500 3.2000 
2022 9 1 10 0.3500 534.6000 0.0000 0.0000 7.1874 754.0875 0.6875 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3500 3.2000 
2022 9 1 11 0.3400 507.1900 0.0000 0.0000 7.1771 754.0768 0.6863 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3400 3.2000 
2022 9 1 12 0.3400 503.4000 0.0000 0.0000 7.1668 754.0662 0.6852 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3400 3.2000 
2022 9 1 13 0.3400 523.5600 0.0000 0.0000 7.1565 754.0555 0.6841 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3400 3.2000 
2022 9 1 14 0.3400 552.6500 0.0000 0.0000 7.1462 754.0449 0.6829 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3400 3.2000 
2022 9 1 15 0.3400 575.6100 0.0000 0.0000 7.1359 754.0342 0.6818 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3400 3.2000 
2022 9 1 16 0.3400 615.1800 0.0000 0.0000 7.1256 754.0235 0.6806 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3400 3.2000 
2022 9 1 17 0.3400 649.8000 0.0000 0.0000 7.1153 754.0129 0.6795 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3400 3.2000 
2022 9 1 18 0.3400 673.7200 0.0000 0.0000 7.1050 754.0022 0.6783 0.0000 3.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3400 3.2000 
