CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 3.2000 0.01527760 0.6229 0.0000 
2022 9 1 1 3.2000 0.02394439 0.7926 0.0000 
2022 9 1 2 3.2000 0.03110607 1.2106 0.0000 
2022 9 1 3 3.2000 0.03643127 1.7208 0.0000 
2022 9 1 4 3.2000 0.04009711 2.1817 0.0000 
2022 9 1 5 3.2000 0.04248218 2.5375 0.0000 
2022 9 1 6 3.2000 0.04396945 2.7869 0.0000 
2022 9 1 7 3.2000 0.04486690 2.9507 0.0000 
2022 9 1 8 3.2000 0.04539449 3.0534 0.0000 
2022 9 1 9 3.2000 0.04569815 3.1156 0.0000 
2022 9 1 10 3.2000 0.04586989 3.1523 0.0000 
2022 9 1 11 3.2000 0.04596561 3.1734 0.0000 
2022 9 1 12 3.2000 0.04601830 3.1854 0.0000 
2022 9 1 13 3.2000 0.04604699 3.1920 0.0000 
2022 9 1 14 3.2000 0.04606247 3.1957 0.0000 
2022 9 1 15 3.2000 0.04607075 3.1977 0.0000 
2022 9 1 16 3.2000 0.04607514 3.1988 0.0000 
2022 9 1 17 3.2000 0.04607747 3.1994 0.0000 
2022 9 1 18 3.2000 0.04607868 3.1997 0.0000 
2022 9 1 19 3.2000 0.04607932 3.1998 0.0000 
2022 9 1 20 3.2000 0.04607965 3.1999 0.0000 
2022 9 1 21 3.2000 0.04607982 3.2000 0.0000 
2022 9 1 22 3.2000 0.04607991 3.2000 0.0000 
2022 9 1 23 3.2000 0.04607995 3.2000 0.0000 
2022 9 2 0 3.2000 0.04607998 3.2000 0.0000 
2022 9 2 1 3.2000 0.04607999 3.2000 0.0000 
2022 9 2 2 3.2000 0.04607999 3.2000 0.0000 
2022 9 2 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 2 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 3 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 4 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 4 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 4 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 4 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 4 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 4 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 4 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 4 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 4 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 4 9 3.2000 0.04608000 3.2000 0.0000 
