RESERVOIR node 3 GRESSE
reservoir_init_fr= 0.80000  init_masl=747.272
Filling at HRW [Mm3] = 168.04000
Filling at LRW [Mm3] = 106.60000
Active reservoir capacity [Mm3] = 61.44000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s]   [m3/s]    [m3/s]     [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin pump_in pump_out tot_inflow tot_outflow
2022 9 1 0 0.2300 495.0100 0.0000 0.0000 155.7528 747.2721 0.8000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2300 0.0000 
2022 9 1 1 0.2300 494.9900 0.0000 0.0000 155.7537 747.2723 0.8000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2300 0.0000 
2022 9 1 2 0.2300 490.5800 0.0000 0.0000 155.7545 747.2724 0.8000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2300 0.0000 
2022 9 1 3 0.2300 501.0100 0.0000 0.0000 155.7553 747.2725 0.8001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2300 0.0000 
2022 9 1 4 0.2200 568.4400 0.0000 0.0000 155.7561 747.2726 0.8001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2200 0.0000 
2022 9 1 5 0.2200 590.4500 0.0000 0.0000 155.7569 747.2727 0.8001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2200 0.0000 
2022 9 1 6 0.2200 643.5100 0.0000 0.0000 155.7577 747.2728 0.8001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2200 0.0000 
2022 9 1 7 0.2200 639.9000 0.0000 0.0000 155.7585 747.2729 0.8001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2200 0.0000 
2022 9 1 8 0.2200 595.2600 0.0000 0.0000 155.7593 747.2731 0.8001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2200 0.0000 
2022 9 1 9 0.2200 577.0100 0.0000 0.0000 155.7601 747.2732 0.8001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2200 0.0000 
2022 9 1 10 0.2200 534.6000 0.0000 0.0000 155.7609 747.2733 0.8001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2200 0.0000 
2022 9 1 11 0.2200 507.1900 0.0000 0.0000 155.7616 747.2734 0.8002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2200 0.0000 
2022 9 1 12 0.2200 503.4000 0.0000 0.0000 155.7624 747.2735 0.8002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2200 0.0000 
2022 9 1 13 0.2200 523.5600 0.0000 0.0000 155.7632 747.2736 0.8002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2200 0.0000 
2022 9 1 14 0.2100 552.6500 0.0000 0.0000 155.7640 747.2737 0.8002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2100 0.0000 
2022 9 1 15 0.2100 575.6100 0.0000 0.0000 155.7647 747.2738 0.8002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2100 0.0000 
2022 9 1 16 0.2100 615.1800 0.0000 0.0000 155.7655 747.2739 0.8002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2100 0.0000 
2022 9 1 17 0.2100 649.8000 0.0000 0.0000 155.7663 747.2741 0.8002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.2100 0.0000 
