RESERVOIR node 9 KROKNESVATN
reservoir_init_fr= 0.66000  init_masl=407.709
Filling at HRW [Mm3] = 218.57000
Filling at LRW [Mm3] = 19.30000
Active reservoir capacity [Mm3] = 199.27000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s]   [m3/s]    [m3/s]     [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin pump_in pump_out tot_inflow tot_outflow
2022 9 1 0 0.6700 495.0100 0.0000 0.3794 150.8220 407.7110 0.6600 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0494 0.0000 
2022 9 1 1 0.6700 494.9900 0.0000 0.3122 150.8255 407.7125 0.6600 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.9822 0.0000 
2022 9 1 2 0.6700 490.5800 0.0000 0.2497 150.8288 407.7138 0.6601 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.9197 0.0000 
2022 9 1 3 0.6600 501.0100 0.0000 0.1943 150.8319 407.7151 0.6601 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.8543 0.0000 
2022 9 1 4 0.6600 568.4400 0.0000 0.1478 150.8348 407.7162 0.6601 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.8078 0.0000 
2022 9 1 5 0.6600 590.4500 0.0000 0.1101 150.8376 407.7174 0.6601 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.7701 0.0000 
2022 9 1 6 0.6600 643.5100 0.0000 0.0806 150.8402 407.7185 0.6601 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.7406 0.0000 
2022 9 1 7 0.6500 639.9000 0.0000 0.0581 150.8428 407.7195 0.6601 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.7081 0.0000 
2022 9 1 8 0.6500 595.2600 0.0000 0.0414 150.8453 407.7205 0.6601 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.6914 0.0000 
