Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2022 9 1 0 0.6989 0.8000 0.9001 0.6600 
2022 9 1 1 0.6977 0.8000 0.9001 0.6600 
2022 9 1 2 0.6966 0.8000 0.9001 0.6601 
2022 9 1 3 0.6955 0.8001 0.9002 0.6601 
2022 9 1 4 0.6943 0.8001 0.9003 0.6601 
2022 9 1 5 0.6932 0.8001 0.9004 0.6601 
2022 9 1 6 0.6920 0.8001 0.9004 0.6601 
2022 9 1 7 0.6909 0.8001 0.9005 0.6601 
2022 9 1 8 0.6898 0.8001 0.9006 0.6601 
2022 9 1 9 0.6886 0.8001 0.9007 0.6601 
2022 9 1 10 0.6875 0.8001 0.9008 0.6602 
2022 9 1 11 0.6863 0.8002 0.9009 0.6602 
2022 9 1 12 0.6852 0.8002 0.9010 0.6602 
2022 9 1 13 0.6841 0.8002 0.9011 0.6602 
2022 9 1 14 0.6829 0.8002 0.9012 0.6602 
2022 9 1 15 0.6818 0.8002 0.9013 0.6602 
2022 9 1 16 0.6806 0.8002 0.9014 0.6602 
2022 9 1 17 0.6795 0.8002 0.9015 0.6602 
2022 9 1 18 0.6783 0.8002 0.9016 0.6603 
2022 9 1 19 0.6772 0.8003 0.9017 0.6603 
2022 9 1 20 0.6760 0.8003 0.9018 0.6603 
2022 9 1 21 0.6749 0.8003 0.9019 0.6603 
2022 9 1 22 0.6737 0.8003 0.9020 0.6603 
2022 9 1 23 0.6726 0.8003 0.9021 0.6603 
2022 9 2 0 0.6714 0.8003 0.9022 0.6603 
2022 9 2 1 0.6703 0.8003 0.9023 0.6603 
2022 9 2 2 0.6691 0.8003 0.9024 0.6603 
2022 9 2 3 0.6680 0.8004 0.9025 0.6604 
2022 9 2 4 0.6668 0.8004 0.9026 0.6604 
2022 9 2 5 0.6657 0.8004 0.9027 0.6604 
2022 9 2 6 0.6645 0.8004 0.9028 0.6604 
2022 9 2 7 0.6634 0.8004 0.9029 0.6604 
2022 9 2 8 0.6622 0.8004 0.9030 0.6604 
2022 9 2 9 0.6611 0.8004 0.9031 0.6604 
2022 9 2 10 0.6599 0.8004 0.9032 0.6604 
2022 9 2 11 0.6588 0.8004 0.9033 0.6604 
2022 9 2 12 0.6576 0.8005 0.9034 0.6604 
2022 9 2 13 0.6565 0.8005 0.9035 0.6605 
2022 9 2 14 0.6553 0.8005 0.9036 0.6605 
2022 9 2 15 0.6541 0.8005 0.9037 0.6605 
2022 9 2 16 0.6530 0.8005 0.9038 0.6605 
2022 9 2 17 0.6518 0.8005 0.9039 0.6605 
2022 9 2 18 0.6507 0.8005 0.9040 0.6605 
2022 9 2 19 0.6495 0.8005 0.9041 0.6605 
2022 9 2 20 0.6483 0.8005 0.9042 0.6605 
2022 9 2 21 0.6472 0.8006 0.9043 0.6605 
2022 9 2 22 0.6460 0.8006 0.9044 0.6605 
2022 9 2 23 0.6449 0.8006 0.9045 0.6606 
2022 9 3 0 0.6437 0.8006 0.9046 0.6606 
2022 9 3 1 0.6425 0.8006 0.9047 0.6606 
2022 9 3 2 0.6414 0.8006 0.9048 0.6606 
2022 9 3 3 0.6402 0.8006 0.9049 0.6606 
2022 9 3 4 0.6390 0.8006 0.9050 0.6606 
2022 9 3 5 0.6379 0.8006 0.9051 0.6606 
2022 9 3 6 0.6367 0.8007 0.9052 0.6606 
2022 9 3 7 0.6356 0.8007 0.9053 0.6606 
2022 9 3 8 0.6344 0.8007 0.9054 0.6606 
2022 9 3 9 0.6332 0.8007 0.9055 0.6607 
2022 9 3 10 0.6321 0.8007 0.9056 0.6607 
2022 9 3 11 0.6309 0.8007 0.9057 0.6607 
2022 9 3 12 0.6297 0.8007 0.9058 0.6607 
2022 9 3 13 0.6286 0.8007 0.9058 0.6607 
2022 9 3 14 0.6274 0.8007 0.9059 0.6607 
2022 9 3 15 0.6262 0.8008 0.9060 0.6607 
2022 9 3 16 0.6250 0.8008 0.9061 0.6607 
2022 9 3 17 0.6239 0.8008 0.9062 0.6607 
2022 9 3 18 0.6227 0.8008 0.9063 0.6607 
2022 9 3 19 0.6215 0.8008 0.9064 0.6608 
2022 9 3 20 0.6204 0.8008 0.9065 0.6608 
2022 9 3 21 0.6192 0.8008 0.9066 0.6608 
2022 9 3 22 0.6180 0.8008 0.9067 0.6608 
2022 9 3 23 0.6169 0.8008 0.9068 0.6608 
2022 9 4 0 0.6157 0.8008 0.9069 0.6608 
2022 9 4 1 0.6146 0.8009 0.9070 0.6608 
2022 9 4 2 0.6134 0.8009 0.9071 0.6608 
2022 9 4 3 0.6122 0.8009 0.9072 0.6608 
2022 9 4 4 0.6111 0.8009 0.9073 0.6608 
2022 9 4 5 0.6099 0.8006 0.9073 0.6607 
2022 9 4 6 0.6088 0.8004 0.9073 0.6606 
2022 9 4 7 0.6076 0.8001 0.9072 0.6605 
2022 9 4 8 0.6065 0.7998 0.9072 0.6604 
2022 9 4 9 0.6053 0.7995 0.9071 0.6603 
2022 9 4 10 0.6042 0.7993 0.9071 0.6603 
2022 9 4 11 0.6030 0.7990 0.9071 0.6603 
2022 9 4 12 0.6019 0.7987 0.9070 0.6603 
2022 9 4 13 0.6007 0.7985 0.9070 0.6603 
2022 9 4 14 0.5996 0.7982 0.9070 0.6603 
2022 9 4 15 0.5984 0.7979 0.9069 0.6603 
2022 9 4 16 0.5973 0.7977 0.9069 0.6604 
2022 9 4 17 0.5961 0.7974 0.9069 0.6604 
2022 9 4 18 0.5950 0.7971 0.9068 0.6604 
2022 9 4 19 0.5938 0.7969 0.9068 0.6605 
2022 9 4 20 0.5927 0.7966 0.9068 0.6605 
2022 9 4 21 0.5915 0.7963 0.9067 0.6605 
2022 9 4 22 0.5904 0.7961 0.9067 0.6606 
